s1_entity_id,country,has_true_pair,num_true_matches,true_target_sources,true_target_ids,name_raw,addr_raw,name_normalized,addr_normalized,routes_attempted,nearest_gt_name_similarity,category
S1-189794428,US,True,4,"S2,S3","S2-599096910,S2-869834575,S3-460154155,S3-321804896",Colonial Interstate Tidewater LLC,"Fayetteville, Unit Apt 26, AR, 796 Morni",colonial interstate tidewater limited li,fayetteville unit apartment 26 ar 796 mo,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-605195589,India,True,2,"S3,S2","S3-829649434,S2-400528478",Ap & Sons LLP,"C/O. Debasree Das, South 24 Parganas, We",ap and sons limited liability partnershi,c o debasree das south 24 parganas west ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",89.66,B_True_Matched_Retrieval_Failure
S1-94213680,US,True,4,"S3,S2","S3-867252778,S3-784247762,S2-701554250,S3-899255723",Crystal Semiconductor Consultants,"Brookhaven, NY, 322 Erik Drive",crystal semiconductor consultants,brookhaven ny 322 erik drive,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-128839616,India,True,4,"S3,S2","S3-437007512,S3-773918975,S2-534143335,S3-969248323",Vision Premier Marketing Private Limited,"Punjab, Backside Sbimeenu Street Malerko",vision premier marketing private limited,punjab backside sbimeenu street malerkot,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",97.56,B_True_Matched_Retrieval_Failure
S1-751829495,India,False,0,,,Gold Financial LLP,"Maharashtra, Flat 5, Pune, 165, Shivtirt",gold financial limited liability partner,maharashtra flat 5 pune 165 shivtirth ch,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-310509351,India,True,2,"S2,S3","S2-577664186,S3-997073427",DS Hospitality Private Limited,"Flat No.501, Plot No.476, Habeeb Mansion",ds hospitality private limited,flat number 501 plot number 476 habeeb m,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-741763939,US,True,3,"S3,S2","S3-20113447,S2-606849083,S2-760821394",Piedmont Center Care,"IL, 1414 Julianne Drive, Marion",piedmont center care,il 1414 julianne drive marion,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",92.31,B_True_Matched_Retrieval_Failure
S1-679263349,India,True,4,"S3,S2","S3-75894638,S3-936335092,S3-522661069,S2-211442670",Aditya Sai Marketing Private Limited,"Jaipur, Katewa Nagar New Sanganer Road, ",aditya sai marketing private limited,jaipur katewa nagar new sanganer road so,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",87.5,B_True_Matched_Retrieval_Failure
S1-66901398,India,True,1,S3,S3-683094046,Hari Balaji Consultancy Private Limited,"Promoter'S Add:- 27, Hanuman Road, Conna",hari balaji consultancy private limited,promoter s add 27 hanuman road connaught,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",10.39,B_True_Matched_Retrieval_Failure
S1-306198266,India,True,3,"S3,S2","S3-557244716,S3-313131316,S2-187145312",Aditya United Construction,"Pt Cm 8/8, Status Bldg, Sh 202, 2Nd Fl, ",aditya united construction,pt cm 8 8 status bldg sh 202 2nd floor n,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",90.91,B_True_Matched_Retrieval_Failure
S1-80847232,India,True,4,"S2,S3","S2-40898363,S2-452912788,S3-564630691,S3-972537177",Mumbai Vision Private Limited,"Block No. 5, 1St Floor, Somaiya Shopping",mumbai vision private limited,block number 5 1st floor somaiya shoppin,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-674479614,India,True,3,"S3,S2","S3-32496855,S3-800027487,S2-735683886",Five Seva Samiti,"Shop No.2, Rizvi Mahal No.2 106, Waterfi",five seva samiti,shop number 2 rizvi mahal number 2 106 w,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-975791660,US,False,0,,,Horizon Biomedical Consultants LLC,"87991 Kelsie Way, Florence, OR",horizon biomedical consultants limited l,87991 kelsie way florence or,"exact_name,exact_address,name_sig,addr_sig,postal,building,rare_tokens",0.0,A_True_Singleton
S1-953328543,India,False,0,,,Idea International School,Jai Guru Dev Educational Trust Vill Gopa,idea international school,jai guru dev educational trust vill gopa,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-473712319,US,True,1,S3,S3-233572607,Better Atlantic Mobile,"W7541 Shady Lane, Town Of Beaver Dam, WI",better atlantic mobile,w7541 shady lane town of beaver dam wi,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-396054750,US,True,1,S2,S2-537058261,Corporate Wireless Dynamics Inc,"OH, 340 Chase Road, Columbus",corporate wireless dynamics incorporated,oh 340 chase road columbus,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",83.87,B_True_Matched_Retrieval_Failure
S1-120556437,India,True,3,S2,"S2-450913981,S2-412606036,S2-401639345",Am Unified Private Limited,"Plot No.- C-51, T/F, Jeewan Park, Uttam ",am unified private limited,plot number c 51 t f jeewan park uttam n,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-483235641,India,True,3,"S3,S2","S3-962956440,S2-404976959,S2-887283094",Properties Punjab India,"West Bengal, Kolkata, No.4/1, Mansatola ",properties punjab india,west bengal kolkata number 4 1 mansatola,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-812234889,India,True,2,"S3,S2","S3-174557481,S2-686392931",Evolution Brothers,"H.No- C-1171, Bf, Sector-67, Ansal Esenc",evolution brothers,h number c 1171 bf sector 67 ansal esenc,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-939886031,India,False,0,,,Sales Realty Private Limited,"C/O Dhondubai Manku, Kesarkar Gurav Gall",sales realty private limited,c o dhondubai manku kesarkar gurav galli,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-40562853,US,True,5,"S2,S3","S2-156207258,S2-756977977,S3-654428177,S2-219779582,S3-803177349",U V Burns Quest LLC,"UT, 429 2150, Lehi",u v burns quest limited liability compan,ut 429 2150 lehi,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-112862306,India,True,3,S3,"S3-234318506,S3-668742663,S3-226478954",Fast Natural Corporation,"D.No. 1543C, Devangar Nagar, Madurapuri,",fast natural corporation,d number 1543c devangar nagar madurapuri,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",81.63,B_True_Matched_Retrieval_Failure
S1-727464793,US,True,3,"S2,S3","S2-345802679,S3-775388316,S3-766852405",Garcia Piedmont Ithax PLLC,"IL, 2847 Stanton Street, Springfield",garcia piedmont ithax pllc,il 2847 stanton street springfield,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-440090395,India,True,5,"S2,S3","S2-739216349,S3-678870493,S2-945139044,S2-611147134,S3-506177731",Black Jai Care Private Limited,"Shop No L5 Sr No 53/2/3, P No7 & 8 Girit",black jai care private limited,shop number l5 sr number 53 2 3 p no7 an,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",96.67,B_True_Matched_Retrieval_Failure
S1-110179850,India,True,2,"S3,S2","S3-815113522,S2-863550252",Shree Big Developers Private Limited,Malancha Road Opp-Andhra Bankkharagpur P,shree big developers private limited,malancha road opp andhra bankkharagpur p,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",88.89,B_True_Matched_Retrieval_Failure
S1-547499439,India,True,5,"S2,S3","S2-386330186,S2-599292610,S3-818939639,S2-909034406,S2-148170150",Sunrise Educational Society,"Q-1, Aswathy Gardens, Aswathy Street, Ch",sunrise educational society,q 1 aswathy gardens aswathy street chitt,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-263207122,India,False,0,,,Surya Consultancy Pvt Ltd,"B-32 Kirti Nagar, New Delhi, Delhi",surya consultancy private limited,b 32 kirti nagar new delhi delhi,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-964437389,US,True,3,S3,"S3-126538783,S3-930362666,S3-489777262",Precision Analytics Works Partners,"Unit 105, DC, Washington, 902 21st Stree",precision analytics works partners,unit 105 dc washington 902 21st street,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",97.14,B_True_Matched_Retrieval_Failure
S1-59693243,India,True,3,"S3,S2","S3-388387212,S2-697221611,S3-510428221",Red Products Pvt Ltd,"G-3, Plot No.-210 Sector-6, Vaishali, Gh",red products private limited,g 3 plot number 210 sector 6 vaishali gh,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-974434907,US,True,4,"S3,S2","S3-475537030,S2-988261189,S3-871266819,S2-853245",Grant Harbors,"TX, 820 Garfield Avenue, Temple",grant harbors,tx 820 garfield avenue temple,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-691776503,India,True,2,"S2,S3","S2-184916027,S3-256487156",Tirupati India (India) Limited,"Room No-6, New Bhaarat Nagar, Mahul Rd, ",tirupati india india limited,room number 6 new bhaarat nagar mahul ro,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-952249630,India,True,4,"S2,S3","S2-432675418,S2-270823240,S3-290192452,S2-635384441",Royal & Associates Pvt Ltd,"House No. 7 Bcd, Upper Ground Floor, Bel",royal and associates private limited,house number 7 bcd upper ground floor be,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",93.88,B_True_Matched_Retrieval_Failure
S1-368231032,India,True,2,"S3,S2","S3-197421526,S2-924919673",Agro Green Devices,"S. No. 116 Atharva Residency, Next To Gi",agro green devices,s number 116 atharva residency next to g,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-603704216,India,True,4,"S2,S3","S2-123452684,S2-865331555,S2-580586668,S3-296970668",Golden Shakti Impex Pvt Ltd,"Aryan Flys Amd Bricks, C/O Suman Kumar, ",golden shakti impex private limited,aryan flys amd bricks c o suman kumar po,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-240846743,India,True,1,S2,S2-596751528,North White Properties Pvt Ltd,"Durgapur Mc, 4/22 Suhata Mall, West Beng",north white properties private limited,durgapur mc 4 22 suhata mall west bengal,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",11.43,B_True_Matched_Retrieval_Failure
S1-625161934,India,False,0,,,Precious Infotech Private Limited,"Flat No.612, Vss Shree Homes, Suha Apart",precious infotech private limited,flat number 612 vss shree homes suha apa,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-221018438,US,True,1,S2,S2-420264703,"Hill, Rice and Hicks Berkley Inc.","City Of El Paso, TX, 724 Cheltenham Driv",hill rice and hicks berkley incorporated,city of el paso tx 724 cheltenham drive,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",96.97,B_True_Matched_Retrieval_Failure
S1-286507975,US,False,0,,,Global Acquisition,"Columbus, OH, 1500 Polaris Parkway, Unit",global acquisition,columbus oh 1500 polaris parkway unit 20,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-9996486,India,True,6,"S2,S3","S2-603140713,S2-758462453,S2-764232226,S2-165034596,S2-177886260,S3-234603408",Union Welfare Society,"H.No. 6-496, Kanigiri, Prakasam, Andhra ",union welfare society,h number 6 496 kanigiri prakasam andhra ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-208059784,India,True,3,"S3,S2","S3-597253819,S3-134345322,S2-864078792",Global Glass Private Limited,"Chennai, Tamil Nadu, First Main Road Sud",global glass private limited,chennai tamil nadu first main road sudar,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-266133171,US,True,2,"S3,S2","S3-633690828,S2-178275632",Premier Marketing Products LLC,"NY, Islip, 17 Springfield Circle",premier marketing products limited liabi,ny islip 17 springfield circle,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-347050546,India,True,2,S2,"S2-533628880,S2-916872213",Anand Prime Investment Private Limited,"Rajasthan, Jaipur, Kushal Nagar, Sangane",anand prime investment private limited,rajasthan jaipur kushal nagar sanganer p,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",10.13,B_True_Matched_Retrieval_Failure
S1-797525155,India,True,1,S2,S2-450319004,Fast Alloys Pvt Ltd,"Plot No 740, Ward No 9 Lower Kizome, Pul",fast alloys private limited,plot number 740 ward number 9 lower kizo,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",78.95,B_True_Matched_Retrieval_Failure
S1-701982166,India,True,3,"S2,S3","S2-892873342,S2-129211036,S3-774438464",Eastern Unique Services Pvt Ltd,"No 1 Venkatraman Round Road, Pollachi, C",eastern unique services private limited,number 1 venkatraman round road pollachi,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",93.55,B_True_Matched_Retrieval_Failure
S1-490027079,India,False,0,,,Alpha City Builders Private Limited,"Delhi, New Delhi, 412, South Delhi, 4Th/",alpha city builders private limited,delhi new delhi 412 south delhi 4th f bl,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-977782739,US,True,4,"S3,S2","S3-139332349,S3-306469199,S2-661069323,S2-752490785",Fresh Industrial Advisors LLC,"MD, Elkton, 3303 Spanish Bay Court",fresh industrial advisors limited liabil,md elkton 3303 spanish bay court,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-460829869,India,True,3,"S3,S2","S3-112905313,S2-631573663,S2-599373031",Raj South Consultants,"Begum Bazar, Telangana, Hyderabad, Nampa",raj south consultants,begum bazar telangana hyderabad nampally,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",60.0,B_True_Matched_Retrieval_Failure
S1-468022572,India,True,1,S2,S2-239426465,United Shiva Foundation Limited,"Plot No.60 & 61, Flat No.402, 4Th Floor,",united shiva foundation limited,plot number 60 and 61 flat number 402 4t,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",9.68,B_True_Matched_Retrieval_Failure
S1-536497000,India,True,3,"S2,S3","S2-270789387,S3-132208663,S3-672076091",Marketing India Laboratories Private Lim,"No.19/14, 4Th Main, Chikkadugodi, Bangal",marketing india laboratories private lim,number 19 14 4th main chikkadugodi banga,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-906283065,India,True,2,"S3,S2","S3-165779086,S2-158379042",Pune Software Care,Fp 997 P No 15 New 997/15 Satsang H Soci,pune software care,fp 997 p number 15 new 997 15 satsang h ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-78621757,India,True,7,"S3,S2","S3-770729090,S2-6793720,S3-971565315,S2-991474891,S3-514667458,S3-128819643,S2-211755175",Titan Institute,"Patha Kadapa, By Pass Road, Modameedapal",titan institute,patha kadapa by pass road modameedapalli,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-797754212,India,True,4,"S3,S2","S3-302292357,S3-729070575,S2-222710961,S2-643242130",Investments Impex Private Limited,"H.No.278, At Bolsa (Kd), Bhokar, Nanded,",investments impex private limited,h number 278 at bolsa kd bhokar nanded m,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",93.55,B_True_Matched_Retrieval_Failure
S1-297627899,India,True,3,"S3,S2","S3-906026980,S2-686333905,S2-3327455",Coimbatore Foundation Care,"No.391, 2Nd Floor, Krishnakamalam Apartm",coimbatore foundation care,number 391 2nd floor krishnakamalam apar,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",69.23,B_True_Matched_Retrieval_Failure
S1-724233069,India,True,4,"S2,S3","S2-279095941,S3-297068200,S2-83678869,S2-662745450",Balaji Exim Ltd,"H. No. 15-2-645, 1St Floor, Room No 1, K",balaji exim limited,h number 15 2 645 1st floor room number ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",93.75,B_True_Matched_Retrieval_Failure
S1-953163004,India,False,0,,,Innovative Indo Infra Private Limited,"Khedkar Nagar, Akola, Maharashtra, Akola",innovative indo infra private limited,khedkar nagar akola maharashtra akola c ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-997207305,India,True,2,"S3,S2","S3-442195085,S2-489121212",Gold Jai Business,"A- 122 Ground Floor, Amar Colony Lajpat ",gold jai business,a 122 ground floor amar colony lajpat na,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",76.47,B_True_Matched_Retrieval_Failure
S1-453420655,India,False,0,,,Blue Hotel Exports Private Limited,"Vardhman Residency, Wing - A - 5025, No ",blue hotel exports private limited,vardhman residency wing a 5025 number 23,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-751132282,India,True,3,"S3,S2","S3-110652675,S2-13552174,S2-444839149",Tirumalagiri Food Corp,"F.No.302, 3Rd Flr, Northncl, Sri Gajanan",tirumalagiri food corporation,f number 302 3rd flr northncl sri gajana,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-573881496,India,True,2,"S2,S3","S2-617010212,S3-530058486",Silver Surya Trading Private Limited,"No.62B, 1St Floor Perianna Maistry Stree",silver surya trading private limited,number 62b 1st floor perianna maistry st,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",10.39,B_True_Matched_Retrieval_Failure
S1-283378647,India,True,3,"S3,S2","S3-989060146,S2-375783241,S2-150605175",Great Sky Construction Limited,"No:16, Puthur, Chinnamaidhanam, Tamil Na",great sky construction limited,number 16 puthur chinnamaidhanam tamil n,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",96.67,B_True_Matched_Retrieval_Failure
S1-88664201,US,True,3,"S2,S3","S2-513268256,S2-422840676,S3-712542961",Apex Array Inc,"Fl 0, KS, Wichita, 670 167th Street",apex array incorporated,floor 0 ks wichita 670 167th street,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",85.71,B_True_Matched_Retrieval_Failure
S1-711184338,India,True,4,"S3,S2","S3-57371218,S2-119973750,S3-182360992,S3-306130541",Energy Royal Laboratories Private Limite,"Aurangabad, Midc Waluj, Aurangabad, Maha",energy royal laboratories private limite,aurangabad midc waluj aurangabad maharas,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",94.87,B_True_Matched_Retrieval_Failure
S1-440755143,India,True,3,"S3,S2","S3-481495887,S2-622353415,S3-205123769",Life South Agro Private Limited,"H.No 293, 2Nd Floor, L Extn Mohan Garden",life south agro private limited,h number 293 2nd floor l extn mohan gard,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",12.7,B_True_Matched_Retrieval_Failure
S1-788637077,India,True,3,S3,"S3-943011522,S3-662061400,S3-658074270",Holdings Dairy Ltd,"No.1880/17, Karnataka, Bangalore, Bangal",holdings dairy limited,number 1880 17 karnataka bangalore banga,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",94.44,B_True_Matched_Retrieval_Failure
S1-627127736,India,True,3,"S3,S2","S3-37699868,S2-928329159,S2-854173247",Future Smart Foods Private Limited,"Tilak Nagar, Flat No.4 Vastu Appartment,",future smart foods private limited,tilak nagar flat number 4 vastu appartme,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",90.32,B_True_Matched_Retrieval_Failure
S1-821426991,India,True,2,"S2,S3","S2-318304856,S3-573923055",Bangalore North (india) Ltd,"No.1737/1, New No. 020, First Floor, 5Th",bangalore north india limited,number 1737 1 new number 020 first floor,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-876781102,India,True,3,"S2,S3","S2-642839428,S3-200624649,S2-483829082",Store Natural Private Limited,Bms Business Centreh Block 10 Plaze Cine,store natural private limited,bms business centreh block 10 plaze cine,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",88.14,B_True_Matched_Retrieval_Failure
S1-359600330,India,True,2,"S2,S3","S2-533825709,S3-241925542",Bold Charitable Trust,"Tejas Arcade, No.527/B, 3Rd Floor, 1St M",bold charitable trust,tejas arcade number 527 b 3rd floor 1st ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-589949986,US,True,5,"S3,S2","S3-337116917,S2-533682281,S2-568481346,S3-933213702,S3-367844118",Trusted Presidio Inc,"Vallejo, 1000 Madrone Avenue, CA",trusted presidio incorporated,vallejo 1000 madrone avenue ca,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-477874806,India,False,0,,,Bangalore Textile Private Limited,"# 117, Mig 2Nd Stage Khb Colony, Basaves",bangalore textile private limited,117 mig 2nd stage khb colony basaveshwar,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-267725434,India,False,0,,,Tirupati Sky Hospitality Pvt Ltd,"Nyati Equatorial 2, I1-701, Marigold Sn ",tirupati sky hospitality private limited,nyati equatorial 2 i1 701 marigold sn 23,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-85098442,India,True,5,"S2,S3","S2-819226969,S3-318829297,S3-340008718,S3-51496975,S2-115804640",Bay Farmers Pvt Ltd,"T.C.16/1051 (1), Trivandrum, Kerala, C.S",bay farmers private limited,t c 16 1051 1 trivandrum kerala c s road,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-320873751,US,True,3,"S2,S3","S2-329848940,S3-656334705,S3-854278569",Modern Pbc,"Byers, CO, 511 Main Street",modern pbc,byers co 511 main street,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-122548972,US,True,1,S2,S2-261331696,Custom Security Company,"IL, 209 Colby Avenue, Springfield",custom security company,il 209 colby avenue springfield,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",21.74,B_True_Matched_Retrieval_Failure
S1-394692927,India,False,0,,,Cr (India) Developers Center,"Unit No. 401, 4Th Floor Vatika City Poin",cr india developers center,unit number 401 4th floor vatika city po,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-101850054,India,True,2,"S2,S3","S2-170741127,S3-442270987",Aditya Dynamic Trading,"P No 72 N2 Mukund Housing, Society Mukun",aditya dynamic trading,p number 72 n2 mukund housing society mu,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",8.7,B_True_Matched_Retrieval_Failure
S1-306352236,US,True,2,S2,"S2-436343545,S2-598375724",Wise Data Care,"City Of El Paso, TX, 6044 Jemez Drive",wise data care,city of el paso tx 6044 jemez drive,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",89.66,B_True_Matched_Retrieval_Failure
S1-500039984,India,False,0,,,Reliance Industries Ltd,"A P Phoographers Colony, Plat No 20, Roa",reliance industries limited,a p phoographers colony plat number 20 r,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-506957540,India,True,4,"S3,S2","S3-138687561,S3-384689030,S3-444710568,S2-427959437",Aditya Shivam Care Limited,"No.33 & 34, Sri Ganapa Complex, First Fl",aditya shivam care limited,number 33 and 34 sri ganapa complex firs,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-697821020,India,False,0,,,Jai Gold LLP,"Flat No. O - 02, Binayak Enclave 59, Kal",jai gold limited liability partnership,flat number o 02 binayak enclave 59 kali,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-483087822,US,True,3,"S3,S2","S3-63475219,S2-985623322,S2-691292260",Davis Frontier Drive,"MD, Rhodesdale, 5905 Allen Road",davis frontier drive,md rhodesdale 5905 allen road,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",95.0,B_True_Matched_Retrieval_Failure
S1-24627927,India,True,4,"S2,S3","S2-513403022,S2-186588275,S2-578047933,S3-586923455",Pelican Ispat Private Limited,"Banraloo No.1, Meghdoot Vilas, Sonegaon,",pelican ispat private limited,banraloo number 1 meghdoot vilas sonegao,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-704846658,India,True,6,"S3,S2","S3-771136855,S2-877907369,S2-899480254,S3-706553558,S2-765149324,S3-132429400",Foods Sky Facility,"N-225, Ghaziabad, Uttar Pradesh, Pratap ",foods sky facility,n 225 ghaziabad uttar pradesh pratap vih,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-305343085,India,True,5,"S2,S3","S2-137878841,S2-686322908,S2-357563770,S3-108595488,S2-942871276",Green Silver Energy Private Limited,"Jn 3 11 15, Sector 9, Thane, Maharashtra",green silver energy private limited,jn 3 11 15 sector 9 thane maharashtra,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-227837902,India,True,1,S2,S2-215511965,Divine Industries LLP,"Beginest Harbor 2, #3488, 14Th Main Rd, ",divine industries limited liability part,beginest harbor 2 3488 14th main road ha,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",93.33,B_True_Matched_Retrieval_Failure
S1-691734125,US,True,3,"S2,S3","S2-43444286,S3-316641212,S2-606910872",Chavez Advanced Private Group,"OH, Andover, 170 Maple Street",chavez advanced private group,oh andover 170 maple street,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",96.67,B_True_Matched_Retrieval_Failure
S1-137844717,India,True,2,"S3,S2","S3-538684516,S2-177480974",Amber & Brothers Private Limited,Basera Plot No A1-11Opp Videocon Sector-,amber and brothers private limited,basera plot number a1 11opp videocon sec,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",82.76,B_True_Matched_Retrieval_Failure
S1-549513357,India,True,1,S2,S2-279768338,Systems Multi House Private Limited,"Svr Srinilayaflat No Ct C, Block Beside ",systems multi house private limited,svr srinilayaflat number court c block b,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",93.94,B_True_Matched_Retrieval_Failure
S1-532076856,India,True,5,"S2,S3","S2-379373227,S3-117542709,S3-448008291,S2-810305068,S3-930797580",Bharat All Foundation Private Limited,C/O Sparsh De Addiction & Research Socie,bharat all foundation private limited,c o sparsh de addiction and research soc,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",76.32,B_True_Matched_Retrieval_Failure
S1-396337466,US,True,3,"S3,S2","S3-307426989,S2-931572022,S2-964805630","Blue School of Medicine, Inc","Vallejo, CA, 119 Sandpiper Drive",blue school of medicine incorporated,vallejo ca 119 sandpiper drive,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-351307066,India,True,1,S3,S3-160100769,Bhubaneswar Internet Pvt Ltd,"Janardanhouse, Plotno-A/181;Firstfloor, ",bhubaneswar internet private limited,janardanhouse plotno a 181 firstfloor ro,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",92.86,B_True_Matched_Retrieval_Failure
S1-323112275,India,False,0,,,Silver Sky Technology Private Limited,"At P. O. Tapsia, P. S. Beliaberah Dist. ",silver sky technology private limited,at p o tapsia p s beliaberah dist paschi,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
