s1_id,entity_type,error_type,num_true_matches,num_pred_matches,top_probability,second_probability,margin,has_address,country
S1-282550905,multi_match,underprediction,5,1,0.9994,0.2806,0.7188,True,US
S1-961584054,multi_match,underprediction,4,1,0.9959,0.9741,0.0219,True,US
S1-431135544,multi_match,underprediction,3,2,0.9998,0.9998,0.0,True,US
S1-402632386,multi_match,underprediction,4,2,0.9995,0.9993,0.0002,True,INDIA
S1-225511219,multi_match,false_negative_miss,5,0,0.3967,0.3605,0.0362,True,INDIA
S1-167843574,multi_match,underprediction,5,2,0.9999,0.9994,0.0005,True,INDIA
S1-634215016,multi_match,underprediction,4,1,0.9994,0.0003,0.999,True,INDIA
S1-685334389,multi_match,underprediction,3,1,0.9999,0.2361,0.7638,True,US
S1-784112070,multi_match,underprediction,2,1,0.9968,0.0002,0.9966,True,US
S1-484402673,multi_match,perfect,2,2,0.9998,0.9923,0.0075,True,US
S1-216739176,multi_match,false_negative_miss,2,0,0.2361,0.013,0.223,True,US
S1-282926148,multi_match,underprediction,3,1,0.9998,0.5267,0.4731,True,INDIA
S1-440343193,multi_match,underprediction,4,2,0.9994,0.9993,0.0002,True,INDIA
S1-346617149,multi_match,underprediction,2,1,0.9945,0.0064,0.9881,True,INDIA
S1-393389489,multi_match,underprediction,4,1,0.9975,0.0001,0.9974,True,INDIA
S1-563435909,singleton,perfect,0,0,0.3127,0.1849,0.1277,True,US
S1-58377139,multi_match,false_negative_miss,2,0,0.0037,0.0028,0.001,True,INDIA
S1-188271174,multi_match,underprediction,3,1,0.5742,0.0084,0.5659,True,US
S1-409168275,multi_match,underprediction,3,1,0.9998,0.9998,0.0,True,US
S1-315437716,multi_match,underprediction,2,1,0.9999,0.0398,0.9601,True,US
S1-841390002,single_match,perfect,1,1,0.9996,0.0014,0.9982,True,US
S1-161929222,multi_match,underprediction,4,2,0.9999,0.9998,0.0001,True,US
S1-768306227,multi_match,underprediction,5,1,0.9998,0.9998,0.0,True,US
S1-428055902,single_match,false_negative_miss,1,0,0.0003,0.0003,0.0,True,US
S1-830813192,multi_match,perfect,2,2,0.9988,0.8518,0.147,True,US
S1-703251601,multi_match,underprediction,2,1,0.9633,0.0004,0.9629,True,US
S1-28213334,multi_match,underprediction,2,1,0.9838,0.108,0.8759,True,US
S1-381726403,multi_match,underprediction,3,2,0.9995,0.9941,0.0054,True,US
S1-337988156,multi_match,underprediction,3,2,0.9991,0.9973,0.0018,True,US
S1-509685287,multi_match,underprediction,3,2,0.9996,0.9989,0.0007,True,US
S1-808879516,multi_match,underprediction,3,2,0.9985,0.9875,0.011,True,US
S1-665618574,multi_match,underprediction,3,2,0.9989,0.9983,0.0006,True,INDIA
S1-720461634,multi_match,underprediction,4,2,0.9997,0.9979,0.0019,True,INDIA
S1-997854700,multi_match,underprediction,3,2,0.9985,0.9771,0.0214,True,US
S1-696438635,multi_match,underprediction,5,2,0.998,0.9964,0.0016,True,INDIA
S1-631815091,multi_match,underprediction,2,1,0.9995,0.9795,0.02,True,US
S1-842916865,multi_match,underprediction,6,1,0.5267,0.2969,0.2298,True,INDIA
S1-864675852,multi_match,underprediction,3,2,0.9989,0.9949,0.004,True,US
S1-594062942,multi_match,underprediction,4,1,0.9994,0.0002,0.9992,True,US
S1-802081258,multi_match,perfect,2,2,0.9972,0.9105,0.0867,True,INDIA
S1-673174242,multi_match,false_negative_miss,3,0,0.0057,0.0009,0.0047,True,INDIA
S1-957565074,multi_match,perfect,2,2,0.9998,0.9979,0.0019,True,US
S1-849332036,multi_match,underprediction,4,1,0.9154,0.0,0.9154,True,INDIA
S1-109375634,single_match,false_negative_miss,1,0,0.0,0.0,0.0,True,US
S1-861056309,multi_match,underprediction,4,2,0.9902,0.9785,0.0118,True,INDIA
S1-560486750,multi_match,false_negative_miss,4,0,0.0003,0.0003,0.0,True,INDIA
S1-262195788,multi_match,false_negative_miss,3,0,0.0,0.0,0.0,True,INDIA
S1-74221954,multi_match,underprediction,5,2,0.9982,0.9977,0.0005,True,INDIA
S1-212134665,multi_match,underprediction,2,1,0.9999,0.0004,0.9995,True,INDIA
S1-989624497,multi_match,underprediction,3,2,0.9988,0.9988,0.0001,True,US
S1-312155041,multi_match,underprediction,3,2,0.9995,0.99,0.0096,True,INDIA
S1-98204336,multi_match,underprediction,4,1,0.9996,0.5087,0.4909,True,INDIA
S1-838409978,multi_match,underprediction,4,1,0.9484,0.0828,0.8656,True,US
S1-543312307,multi_match,false_negative_miss,2,0,0.0001,0.0001,0.0001,True,US
S1-290958269,multi_match,underprediction,5,1,0.9849,0.0025,0.9824,True,US
S1-78514556,multi_match,underprediction,4,2,0.9982,0.996,0.0022,True,US
S1-115956446,multi_match,underprediction,4,1,0.6005,0.0004,0.6001,True,INDIA
S1-768387638,singleton,perfect,0,0,0.0318,0.0003,0.0315,True,INDIA
S1-649318327,multi_match,underprediction,3,2,0.9998,0.961,0.0388,True,US
S1-285085111,multi_match,underprediction,5,2,0.9994,0.995,0.0044,True,US
S1-736123517,multi_match,underprediction,3,1,0.9997,0.2361,0.7637,True,US
S1-879632633,multi_match,underprediction,5,1,0.6113,0.6035,0.0079,True,INDIA
S1-78008717,singleton,perfect,0,0,0.0586,0.0036,0.055,True,INDIA
S1-789565672,multi_match,false_negative_miss,2,0,0.0,0.0,0.0,True,INDIA
S1-894749727,multi_match,underprediction,4,2,0.9993,0.9895,0.0098,True,US
S1-604742797,multi_match,underprediction,3,1,0.9999,0.9998,0.0,True,US
S1-29645019,multi_match,underprediction,5,1,0.9992,0.9984,0.0009,True,INDIA
S1-762706210,multi_match,underprediction,4,2,0.9998,0.9995,0.0003,True,US
S1-495765407,single_match,perfect,1,1,0.9993,0.0009,0.9984,True,US
S1-823098188,multi_match,underprediction,3,1,0.9992,0.9986,0.0006,True,US
S1-785203399,multi_match,underprediction,6,1,0.9995,0.9909,0.0086,True,INDIA
S1-569888086,multi_match,underprediction,6,1,0.9968,0.0003,0.9965,True,US
S1-272385653,multi_match,false_negative_miss,4,0,0.008,0.001,0.007,True,INDIA
S1-554345064,multi_match,false_negative_miss,5,0,0.0002,0.0001,0.0001,True,US
S1-663120398,multi_match,underprediction,5,2,0.9999,0.9998,0.0001,True,US
S1-118906131,multi_match,underprediction,5,1,0.9238,0.0004,0.9234,True,INDIA
S1-627271103,singleton,perfect,0,0,0.0004,0.0003,0.0001,True,INDIA
S1-180704767,multi_match,underprediction,2,1,0.9997,0.1164,0.8833,True,US
S1-896319771,multi_match,underprediction,3,2,0.9998,0.9405,0.0593,True,US
S1-224047616,multi_match,underprediction,3,1,0.9997,0.0007,0.9991,True,US
S1-160180690,multi_match,underprediction,4,1,0.9998,0.9997,0.0001,True,US
S1-773052743,multi_match,underprediction,7,2,0.9999,0.9964,0.0034,True,US
S1-704733122,multi_match,false_negative_miss,3,0,0.0367,0.0009,0.0359,True,INDIA
S1-295508084,singleton,perfect,0,0,0.3982,0.0052,0.393,True,US
S1-445388774,multi_match,underprediction,4,1,0.9926,0.5035,0.4891,True,INDIA
S1-43222588,multi_match,underprediction,3,1,0.9991,0.5267,0.4724,True,INDIA
S1-610250163,multi_match,underprediction,4,2,0.9995,0.9693,0.0302,True,US
S1-210482124,multi_match,false_negative_miss,6,0,0.0005,0.0003,0.0002,True,INDIA
S1-522197089,multi_match,underprediction,6,2,0.9999,0.9997,0.0002,True,US
S1-981179075,multi_match,false_negative_miss,2,0,0.0014,0.0004,0.001,True,INDIA
S1-260921092,multi_match,underprediction,4,2,0.9998,0.9995,0.0003,True,US
S1-862346809,multi_match,underprediction,8,1,0.9989,0.9963,0.0026,True,US
S1-517935944,singleton,perfect,0,0,0.0006,0.0003,0.0003,True,US
S1-935501092,multi_match,underprediction,4,2,0.9995,0.9955,0.0041,True,INDIA
S1-486941217,multi_match,underprediction,4,1,0.9998,0.0002,0.9996,True,US
S1-298420573,multi_match,underprediction,3,2,0.9998,0.9995,0.0002,True,US
S1-98022270,multi_match,false_negative_miss,3,0,0.0003,0.0002,0.0001,True,US
S1-689753540,multi_match,false_negative_miss,2,0,0.0001,0.0001,0.0,True,US
S1-234920826,multi_match,underprediction,3,2,0.9998,0.9989,0.0009,True,US
S1-64920558,multi_match,underprediction,3,2,0.9998,0.9998,0.0,True,US
S1-396720517,multi_match,underprediction,8,2,0.9997,0.9996,0.0001,True,INDIA
S1-950490180,multi_match,underprediction,5,1,0.998,0.0026,0.9954,True,US
S1-234891418,multi_match,underprediction,5,2,0.9906,0.9608,0.0298,True,INDIA
S1-456892722,multi_match,underprediction,4,2,0.9997,0.9995,0.0002,True,US
S1-386575645,multi_match,false_negative_miss,4,0,0.0003,0.0002,0.0001,True,INDIA
S1-605159366,multi_match,underprediction,5,1,0.6773,0.4762,0.2011,True,INDIA
S1-389546810,multi_match,underprediction,2,1,0.5087,0.0003,0.5084,True,INDIA
S1-671074613,singleton,perfect,0,0,0.3048,0.0013,0.3035,True,US
S1-191228242,multi_match,underprediction,6,1,0.9577,0.5267,0.431,True,INDIA
S1-364966849,multi_match,underprediction,2,1,0.9995,0.9994,0.0001,True,US
S1-945717320,multi_match,false_negative_miss,4,0,0.001,0.0008,0.0001,True,INDIA
S1-178834652,singleton,perfect,0,0,0.0003,0.0003,0.0,True,US
S1-113653510,multi_match,underprediction,4,1,0.9998,0.9628,0.037,True,US
S1-862956482,multi_match,underprediction,5,1,0.9836,0.9151,0.0686,True,INDIA
S1-861073888,multi_match,false_negative_miss,4,0,0.001,0.0004,0.0005,True,US
S1-91899215,multi_match,underprediction,3,1,0.9982,0.9829,0.0153,True,US
S1-469533768,multi_match,underprediction,5,2,0.9962,0.9951,0.0011,True,US
S1-258213082,multi_match,false_negative_miss,3,0,0.0,0.0,0.0,True,INDIA
S1-890970993,multi_match,underprediction,5,1,0.9998,0.0003,0.9994,True,US
S1-387474196,multi_match,underprediction,4,2,0.997,0.9955,0.0015,True,US
S1-440574441,multi_match,false_negative_miss,3,0,0.0002,0.0002,0.0,True,US
S1-707608448,multi_match,false_negative_miss,3,0,0.3752,0.0056,0.3696,True,INDIA
S1-246728544,multi_match,underprediction,2,1,0.9948,0.9727,0.0222,True,US
S1-459608791,multi_match,underprediction,6,1,0.9992,0.473,0.5262,True,US
S1-562720955,multi_match,underprediction,3,2,0.9994,0.9859,0.0136,True,INDIA
S1-239576160,multi_match,underprediction,2,1,0.8822,0.0005,0.8817,True,US
S1-924654836,multi_match,underprediction,3,2,0.9999,0.9997,0.0002,True,US
S1-975387207,multi_match,false_negative_miss,4,0,0.0012,0.0011,0.0,True,INDIA
S1-625884710,multi_match,underprediction,3,2,0.9996,0.9988,0.0009,True,US
S1-154092695,multi_match,underprediction,5,1,0.9992,0.999,0.0002,True,INDIA
S1-875435716,multi_match,underprediction,2,1,0.834,0.0637,0.7702,True,US
S1-445404581,multi_match,perfect,2,2,0.9997,0.9952,0.0046,True,US
S1-265375529,multi_match,underprediction,5,2,0.9983,0.9892,0.0091,True,INDIA
S1-509377803,multi_match,false_negative_miss,3,0,0.0742,0.0403,0.0339,True,INDIA
S1-366981074,multi_match,false_negative_miss,3,0,0.2547,0.002,0.2528,True,US
S1-912824159,multi_match,underprediction,7,2,0.9998,0.9987,0.0011,True,INDIA
S1-44480863,singleton,perfect,0,0,0.0,0.0,0.0,True,INDIA
S1-754359542,multi_match,underprediction,3,1,0.9995,0.0044,0.995,True,US
S1-734553378,multi_match,false_negative_miss,3,0,0.31,0.0004,0.3096,True,US
S1-184188029,multi_match,underprediction,3,1,0.999,0.6458,0.3532,True,US
S1-442153798,multi_match,false_negative_miss,5,0,0.0003,0.0002,0.0001,True,US
S1-980709773,multi_match,underprediction,3,1,0.9993,0.836,0.1633,True,US
S1-963375955,multi_match,false_negative_miss,4,0,0.0003,0.0003,0.0,True,INDIA
S1-71808585,multi_match,underprediction,5,1,0.9988,0.982,0.0168,True,US
S1-512635939,single_match,false_negative_miss,1,0,0.0001,0.0001,0.0,True,US
S1-176162828,singleton,perfect,0,0,0.0159,0.0059,0.0099,True,US
S1-115834161,multi_match,perfect,2,2,0.9934,0.982,0.0114,True,INDIA
S1-57273115,multi_match,underprediction,5,1,0.9565,0.0004,0.956,True,INDIA
S1-295052002,multi_match,underprediction,4,2,0.9958,0.9911,0.0048,True,US
S1-445068206,multi_match,underprediction,5,2,0.9984,0.9919,0.0065,True,INDIA
S1-752392344,multi_match,underprediction,5,1,0.9922,0.9542,0.038,True,INDIA
S1-673286458,multi_match,underprediction,4,1,0.9995,0.0001,0.9994,True,INDIA
S1-965756418,multi_match,underprediction,4,1,0.9243,0.5236,0.4007,True,INDIA
S1-798180271,multi_match,underprediction,2,1,0.9997,0.0075,0.9922,True,US
S1-289322097,multi_match,false_negative_miss,5,0,0.2361,0.001,0.2351,True,US
S1-276252975,multi_match,underprediction,3,1,0.6035,0.0015,0.602,True,INDIA
S1-222356618,multi_match,false_negative_miss,4,0,0.0,0.0,0.0,True,INDIA
S1-839887563,multi_match,underprediction,6,1,0.9996,0.5057,0.4939,True,US
S1-916164341,multi_match,underprediction,3,2,0.9982,0.9953,0.0029,True,US
S1-157340226,singleton,perfect,0,0,0.0,0.0,0.0,True,INDIA
S1-906161616,singleton,perfect,0,0,0.2245,0.1338,0.0906,True,US
S1-416479623,multi_match,underprediction,6,2,0.9978,0.9931,0.0047,True,INDIA
S1-835231055,multi_match,mixed,2,2,0.6462,0.5047,0.1415,True,INDIA
S1-964920283,multi_match,underprediction,6,1,0.9997,0.9989,0.0008,True,US
S1-704686685,multi_match,underprediction,4,2,0.9998,0.9998,0.0,True,INDIA
S1-954493737,multi_match,underprediction,5,1,0.9992,0.4379,0.5613,True,US
S1-255191043,multi_match,false_negative_miss,3,0,0.0009,0.0003,0.0006,True,US
S1-970267239,multi_match,underprediction,3,1,0.9962,0.9882,0.008,True,US
S1-197520060,multi_match,underprediction,5,1,0.9937,0.0009,0.9928,True,INDIA
S1-2087468,multi_match,underprediction,5,2,0.9999,0.9996,0.0002,True,INDIA
S1-340507115,multi_match,underprediction,3,2,0.9998,0.9973,0.0025,True,US
S1-162846284,singleton,perfect,0,0,0.0664,0.042,0.0245,True,US
S1-102251009,single_match,perfect,1,1,0.9962,0.138,0.8582,True,US
S1-162986532,multi_match,underprediction,3,2,0.9374,0.7964,0.141,True,INDIA
S1-125954048,multi_match,underprediction,3,1,0.9977,0.0002,0.9976,True,US
S1-632129129,multi_match,underprediction,2,1,0.9993,0.0,0.9993,True,US
S1-883509191,multi_match,underprediction,3,2,0.9998,0.9865,0.0133,True,US
S1-823209619,multi_match,underprediction,3,1,0.9997,0.0005,0.9992,True,US
S1-127313261,multi_match,underprediction,4,2,0.9981,0.9954,0.0028,True,INDIA
S1-441513356,multi_match,underprediction,4,1,0.9995,0.5087,0.4907,True,INDIA
S1-754478554,multi_match,underprediction,5,1,0.9894,0.0007,0.9887,True,US
S1-272937828,multi_match,underprediction,6,1,0.9999,0.9963,0.0036,True,US
S1-700594705,singleton,perfect,0,0,0.0021,0.0014,0.0008,True,INDIA
S1-815895832,multi_match,underprediction,3,2,0.9978,0.9811,0.0167,True,INDIA
S1-128560585,multi_match,underprediction,6,1,0.9998,0.9977,0.0021,True,US
S1-695443476,multi_match,underprediction,8,2,0.9998,0.9992,0.0007,True,US
S1-790960401,singleton,perfect,0,0,0.0002,0.0001,0.0001,True,US
S1-195752787,multi_match,underprediction,3,1,0.9996,0.0002,0.9994,True,INDIA
S1-918129538,multi_match,perfect,2,2,0.9998,0.9989,0.001,True,US
S1-628020306,single_match,perfect,1,1,0.9987,0.0573,0.9414,True,INDIA
S1-710241881,multi_match,false_negative_miss,4,0,0.0009,0.0004,0.0005,True,INDIA
S1-240592619,multi_match,false_negative_miss,4,0,0.0049,0.0021,0.0028,True,INDIA
S1-651234794,multi_match,underprediction,5,1,0.9996,0.9879,0.0118,True,INDIA
S1-663861931,multi_match,underprediction,6,1,0.9998,0.9998,0.0001,True,US
S1-572972569,multi_match,underprediction,6,1,0.9996,0.9993,0.0002,True,US
S1-813686771,multi_match,underprediction,8,1,0.9998,0.9993,0.0005,True,US
S1-460266869,multi_match,underprediction,6,1,0.9994,0.0852,0.9141,True,INDIA
S1-878877868,multi_match,underprediction,4,1,0.9985,0.0002,0.9984,True,US
S1-513951751,multi_match,underprediction,3,1,0.9846,0.0227,0.9618,True,US
S1-116574075,multi_match,underprediction,4,2,0.9995,0.9992,0.0003,True,US
S1-129919296,multi_match,underprediction,2,1,0.9988,0.989,0.0098,True,US
S1-292011758,multi_match,underprediction,3,1,0.9528,0.0002,0.9526,True,US
S1-762637579,multi_match,underprediction,4,1,0.9659,0.0004,0.9655,True,INDIA
S1-792222980,multi_match,false_negative_miss,3,0,0.0009,0.0009,0.0,True,INDIA
S1-650786137,multi_match,underprediction,3,1,0.9993,0.9932,0.006,True,INDIA
S1-977039163,multi_match,underprediction,5,2,0.9999,0.9992,0.0007,True,INDIA
S1-352218729,multi_match,underprediction,2,1,0.9745,0.0002,0.9742,True,US
S1-799702021,multi_match,underprediction,3,1,0.8448,0.4586,0.3862,True,INDIA
S1-404169831,multi_match,underprediction,3,1,0.9983,0.0137,0.9845,True,US
S1-359048446,multi_match,underprediction,5,2,0.9996,0.996,0.0036,True,INDIA
S1-970912011,multi_match,false_negative_miss,6,0,0.0001,0.0001,0.0,True,INDIA
S1-400954142,multi_match,false_negative_miss,3,0,0.0058,0.0005,0.0053,True,INDIA
S1-646728514,multi_match,underprediction,4,1,0.9994,0.2364,0.763,True,INDIA
S1-642491974,multi_match,underprediction,3,2,0.9998,0.9976,0.0022,True,US
S1-329202692,multi_match,underprediction,4,1,0.996,0.996,0.0,True,INDIA
S1-18205013,multi_match,underprediction,7,2,0.9998,0.9998,0.0,True,INDIA
S1-935336768,multi_match,underprediction,4,2,0.9997,0.9997,0.0,True,US
S1-603740501,multi_match,underprediction,5,1,0.9946,0.9906,0.004,True,INDIA
S1-742881077,multi_match,underprediction,6,2,0.9997,0.9997,0.0,True,US
S1-738992575,multi_match,underprediction,3,1,0.9964,0.0008,0.9956,True,INDIA
S1-214725553,multi_match,underprediction,2,1,0.9988,0.0005,0.9984,True,INDIA
S1-164599397,multi_match,false_negative_miss,3,0,0.0004,0.0003,0.0001,True,INDIA
S1-206220258,multi_match,underprediction,3,1,0.9997,0.5267,0.473,True,INDIA
S1-526321019,multi_match,false_negative_miss,2,0,0.0004,0.0001,0.0003,True,INDIA
S1-790774799,multi_match,underprediction,3,1,0.9934,0.0746,0.9189,True,INDIA
S1-966963519,multi_match,underprediction,3,1,0.9996,0.9969,0.0027,True,US
S1-960252985,multi_match,underprediction,4,2,0.9994,0.9986,0.0008,True,INDIA
S1-548862123,multi_match,false_negative_miss,5,0,0.0003,0.0002,0.0001,True,US
S1-664644166,multi_match,underprediction,2,1,0.9969,0.0004,0.9965,True,US
S1-333570693,multi_match,underprediction,3,1,0.5267,0.0002,0.5265,True,INDIA
S1-175300181,singleton,perfect,0,0,0.0,0.0,0.0,True,INDIA
S1-550481797,multi_match,underprediction,3,2,0.9991,0.994,0.0052,True,US
S1-66692693,multi_match,underprediction,6,2,0.9996,0.9996,0.0001,True,US
S1-204899546,multi_match,underprediction,3,1,0.9995,0.9979,0.0016,True,INDIA
S1-414425963,multi_match,underprediction,4,1,0.6183,0.0003,0.6179,True,US
S1-418391369,multi_match,false_negative_miss,2,0,0.0,0.0,0.0,True,US
S1-692843222,multi_match,underprediction,6,1,0.9981,0.0,0.9981,True,INDIA
S1-93092863,single_match,false_negative_miss,1,0,0.0,0.0,0.0,True,INDIA
S1-66617145,multi_match,underprediction,6,2,0.9988,0.9984,0.0004,True,US
S1-879628002,multi_match,underprediction,6,1,0.9988,0.0003,0.9985,True,US
S1-993048370,singleton,perfect,0,0,0.0003,0.0002,0.0001,True,US
S1-406056611,multi_match,false_negative_miss,5,0,0.0007,0.0003,0.0004,True,US
S1-505738322,multi_match,false_negative_miss,2,0,0.0001,0.0,0.0001,True,INDIA
S1-704239004,multi_match,underprediction,5,2,0.9993,0.9993,0.0001,True,US
S1-30748060,multi_match,false_negative_miss,3,0,0.001,0.0003,0.0007,True,INDIA
S1-63634364,single_match,false_negative_miss,1,0,0.0009,0.0002,0.0007,True,US
S1-497974667,multi_match,underprediction,3,1,0.9775,0.5237,0.4538,True,US
S1-970289830,multi_match,underprediction,2,1,0.9997,0.049,0.9507,True,INDIA
S1-970663428,singleton,perfect,0,0,0.0165,0.0116,0.0049,True,INDIA
S1-689394377,multi_match,underprediction,5,1,0.9997,0.0031,0.9966,True,US
S1-22582315,multi_match,underprediction,2,1,0.9998,0.0003,0.9995,True,US
S1-384953413,multi_match,underprediction,8,2,0.9536,0.9469,0.0068,True,US
S1-99213951,multi_match,underprediction,6,2,0.9998,0.9996,0.0002,True,INDIA
S1-876729326,singleton,false_positive_merge,0,1,0.5236,0.0229,0.5007,True,US
S1-752708010,single_match,false_negative_miss,1,0,0.3632,0.0243,0.3389,True,US
S1-516433191,multi_match,underprediction,4,2,0.9998,0.9994,0.0004,True,US
S1-202479962,multi_match,false_negative_miss,5,0,0.0006,0.0003,0.0003,True,INDIA
S1-953455718,multi_match,underprediction,4,2,0.9998,0.9978,0.002,True,US
S1-718634565,singleton,perfect,0,0,0.0037,0.0003,0.0034,True,INDIA
S1-791981931,multi_match,underprediction,2,1,0.975,0.0001,0.9749,True,US
S1-171433874,multi_match,underprediction,5,2,0.9996,0.9959,0.0037,True,INDIA
S1-570802709,multi_match,underprediction,4,2,0.9992,0.9755,0.0237,True,US
S1-409541183,multi_match,underprediction,6,1,0.9968,0.0003,0.9965,True,US
S1-825371569,multi_match,underprediction,3,1,0.9992,0.3982,0.601,True,US
S1-978225091,multi_match,underprediction,7,2,0.9998,0.9995,0.0003,True,INDIA
S1-204083714,multi_match,false_negative_miss,3,0,0.0249,0.0124,0.0125,True,US
S1-618371227,multi_match,false_negative_miss,3,0,0.0321,0.0002,0.0319,True,US
S1-752871347,multi_match,underprediction,3,1,0.9998,0.0004,0.9994,True,US
S1-117309152,single_match,false_negative_miss,1,0,0.0001,0.0,0.0001,True,INDIA
S1-57396698,multi_match,underprediction,4,1,0.9756,0.8353,0.1403,True,US
S1-754750661,multi_match,underprediction,7,2,0.9993,0.9982,0.0011,True,US
S1-63837279,multi_match,false_negative_miss,4,0,0.0179,0.0026,0.0153,True,INDIA
S1-510249747,multi_match,false_negative_miss,2,0,0.0003,0.0002,0.0001,True,US
S1-946062447,singleton,perfect,0,0,0.4579,0.0941,0.3638,True,US
S1-50019260,multi_match,underprediction,3,1,0.9986,0.0012,0.9974,True,INDIA
S1-851158170,multi_match,underprediction,4,1,0.9901,0.0003,0.9899,True,US
S1-46271365,multi_match,underprediction,4,1,0.9997,0.9997,0.0,True,US
S1-833447603,multi_match,underprediction,5,1,0.9992,0.0001,0.9991,True,INDIA
S1-654257959,multi_match,underprediction,2,1,0.9998,0.0048,0.995,True,US
S1-486296588,multi_match,false_negative_miss,2,0,0.0011,0.0006,0.0005,True,INDIA
S1-572812016,multi_match,false_negative_miss,2,0,0.0004,0.0003,0.0001,True,INDIA
S1-936957587,single_match,false_negative_miss,1,0,0.3856,0.0003,0.3853,True,US
S1-472967575,multi_match,underprediction,3,2,0.9987,0.9812,0.0175,True,INDIA
S1-549917072,multi_match,underprediction,5,2,0.9993,0.9991,0.0002,True,US
S1-35226625,multi_match,underprediction,6,2,0.9998,0.9956,0.0043,True,INDIA
S1-271287089,multi_match,false_negative_miss,4,0,0.0003,0.0001,0.0002,True,US
S1-966058836,multi_match,underprediction,4,2,0.9009,0.8986,0.0022,True,INDIA
S1-356747602,multi_match,underprediction,2,1,0.9996,0.999,0.0006,True,US
S1-108619393,multi_match,underprediction,2,1,0.9994,0.0734,0.9261,True,US
S1-575145638,multi_match,underprediction,4,2,0.9996,0.9904,0.0092,True,US
S1-997072806,multi_match,underprediction,4,1,0.9987,0.2361,0.7626,True,US
S1-816238797,multi_match,underprediction,3,2,0.9905,0.9885,0.002,True,INDIA
S1-285372206,multi_match,underprediction,6,1,0.996,0.0109,0.985,True,INDIA
S1-625616784,multi_match,underprediction,6,2,0.9997,0.9995,0.0002,True,US
S1-684987337,multi_match,underprediction,3,2,0.9997,0.9966,0.0031,True,US
S1-63168266,multi_match,false_negative_miss,3,0,0.0002,0.0002,0.0001,True,US
S1-745169149,multi_match,underprediction,4,1,0.9998,0.9922,0.0076,True,INDIA
S1-410298749,multi_match,underprediction,3,1,0.9975,0.473,0.5245,True,US
S1-587107442,multi_match,underprediction,4,1,0.5236,0.0006,0.523,True,INDIA
S1-31597894,multi_match,false_negative_miss,2,0,0.0016,0.0001,0.0015,True,US
S1-173432596,multi_match,false_negative_miss,3,0,0.0,0.0,0.0,True,INDIA
S1-120641285,multi_match,underprediction,5,1,0.998,0.0912,0.9068,True,INDIA
S1-134273980,multi_match,underprediction,5,1,0.9992,0.0178,0.9814,True,US
S1-425495690,multi_match,underprediction,2,1,0.9991,0.3982,0.6009,True,US
S1-565356646,multi_match,underprediction,4,1,0.9998,0.9993,0.0005,True,US
S1-769964022,multi_match,underprediction,3,1,0.9988,0.0029,0.9959,True,US
S1-987091576,multi_match,underprediction,2,1,0.9454,0.0063,0.9392,True,US
S1-962039852,multi_match,underprediction,5,2,0.9999,0.9997,0.0002,True,US
S1-300484184,multi_match,underprediction,5,2,0.9996,0.9996,0.0,True,US
S1-494093637,multi_match,false_negative_miss,3,0,0.0534,0.0025,0.0509,True,INDIA
S1-241180537,multi_match,false_negative_miss,6,0,0.4126,0.2948,0.1178,True,INDIA
S1-526260122,multi_match,underprediction,5,1,0.9994,0.9992,0.0002,True,US
S1-815192903,multi_match,underprediction,4,1,0.992,0.1076,0.8844,True,INDIA
S1-528000562,multi_match,false_negative_miss,3,0,0.0,0.0,0.0,True,US
S1-754023596,multi_match,underprediction,4,2,0.9996,0.9996,0.0,True,US
S1-692191688,multi_match,underprediction,2,1,0.9985,0.002,0.9965,True,INDIA
S1-79978699,multi_match,underprediction,2,1,0.9997,0.0007,0.9989,True,US
S1-422282988,singleton,perfect,0,0,0.3856,0.0003,0.3853,True,US
S1-972883913,multi_match,underprediction,2,1,0.9998,0.0016,0.9982,True,US
S1-946142548,multi_match,underprediction,7,1,0.9733,0.8832,0.0901,True,INDIA
S1-629965462,multi_match,underprediction,3,1,0.6337,0.6015,0.0322,True,US
S1-56669198,multi_match,false_negative_miss,3,0,0.0007,0.0005,0.0002,True,INDIA
S1-662533243,multi_match,underprediction,3,1,0.9996,0.384,0.6155,True,US
S1-48927112,multi_match,perfect,2,2,0.9986,0.9951,0.0035,True,INDIA
S1-804305980,multi_match,false_negative_miss,4,0,0.3993,0.3825,0.0167,True,INDIA
S1-306619257,multi_match,false_negative_miss,2,0,0.0006,0.0003,0.0003,True,INDIA
S1-543949962,multi_match,underprediction,6,1,0.9993,0.8263,0.173,True,US
S1-891730587,multi_match,underprediction,2,1,0.9335,0.1973,0.7363,True,US
S1-413328362,multi_match,underprediction,6,1,0.9993,0.9991,0.0003,True,US
S1-755291955,multi_match,false_negative_miss,3,0,0.3162,0.0001,0.3161,True,US
S1-983049226,multi_match,false_negative_miss,6,0,0.0004,0.0003,0.0001,True,INDIA
S1-743417052,multi_match,underprediction,7,2,0.9998,0.9995,0.0003,True,US
S1-332577782,multi_match,underprediction,6,1,0.8279,0.3702,0.4577,True,INDIA
S1-93765990,singleton,perfect,0,0,0.2599,0.1279,0.132,True,US
S1-760553810,multi_match,underprediction,5,1,0.9229,0.4186,0.5043,True,INDIA
S1-725125012,multi_match,underprediction,6,2,0.9998,0.9997,0.0001,True,US
S1-157665132,multi_match,underprediction,3,1,0.9996,0.0009,0.9987,True,US
S1-690095383,multi_match,underprediction,2,1,0.9997,0.0034,0.9963,True,US
