s1_id	target_id	target_source	s1_name	s1_address	s1_country	target_country	shared_tokens	diagnosed_reason
S1-255941721	S2-843206362	S2	ram tech private limited	1576 c ward bindu chowk dattakrurpa appt karvir kolhapur maharashtra	india	india	tech,ram,limited	partial_token_overlap_unindexed
S1-456036159	S2-634056072	S2	north 24 pgs software private limited	p 701 block a lake town kolkata north 24 pgs north 24 parganas west bengal	india	india	24,north,pgs,software	partial_token_overlap_unindexed
S1-959405640	S2-101334424	S2	jarlay indonesia inc	1606 talcott lane sugar land tx	us	us	indonesia,jarlay	partial_token_overlap_unindexed
S1-283808530	S3-496310417	S3	physical therapy integrated physicians llc	2580 cooper street freeport il	us	us	integrated,physical,therapy	partial_token_overlap_unindexed
S1-456786963	S2-655635347	S2	hotel shiva marketing pvt ltd	83 khasra no 623 ghaziabad g r garden 2 chipiyana bujurg uttar pradesh	india	india		zero_shared_tokens_transliteration
S1-275514964	S3-941301393	S3	concepcion auto sales	tx arlington 5221 carpenter drive	us	us	auto,concepcion	partial_token_overlap_unindexed
S1-36603423	S3-884947785	S3	my international private limited	180 vinobha puri lajpat nagar ii new delhi delhi	india	india	private,my	partial_token_overlap_unindexed
S1-629968168	S2-848063523	S2	oneal highland beijing	2433 arrowhead circle south bend in	us	us	highland,beijing,oneal	partial_token_overlap_unindexed
S1-727987012	S3-436060990	S3	ocimum emerging private limited	e 1002 crystal garden s no 134 3 pashan l n 11 haveli pune maharashtra	india	india	private,limited,ocimum,emerging	partial_token_overlap_unindexed
S1-824373227	S2-928606576	S2	surgical group	2630 prairie avenue unit 105 south bend in	us	us	surgical	partial_token_overlap_unindexed
S1-99902905	S3-255112571	S3	szatkowski crystal first pc	3530 val vista drive unit 202 gilbert az	us	us		zero_shared_tokens_transliteration
S1-523071145	S3-771879831	S3	ludovika baumer colonial origin llc	496 gerry drive conroe tx	us	us	origin,colonial,llc,ludovika	partial_token_overlap_unindexed
S1-776560239	S3-845562307	S3	silver tech private limited	village and p o raghudevpur block ii nh 6 uluberiahowrah howrah west bengal	india	india		empty_or_missing_name
S1-440889960	S3-660863470	S3	new trust	h n 8 3 229 t 6 tahir ville colony behind st marrys college yousufguda ch eck post hyderabad telangana	india	india		zero_shared_tokens_transliteration
S1-605307045	S3-45812296	S3	sree and sons limited	khata sankhya 188 vake gram syau patwar halka dholai chomu jaipur rajasthan	india	india	sree,limited,sons	partial_token_overlap_unindexed
S1-554583067	S3-149542393	S3	baba it limited	maharashtra sr no 57 1 2 kalbhor wast lohagaon pune mah pune pune city	india	india	baba,limited	partial_token_overlap_unindexed
S1-130364813	S2-879723682	S2	vanton era	978 preschool road district five az	us	us	vanton,era	partial_token_overlap_unindexed
S1-856668680	S3-28821019	S3	safe optimal impact	247 evani avenue benson az	us	us	safe,optimal	partial_token_overlap_unindexed
S1-895990217	S3-361798454	S3	board of education	2996 568 cranks ky	us	us	board,of	partial_token_overlap_unindexed
S1-631435084	S3-544941867	S3	total interstate farms	tx georgetown 808 rockmoor drive unit 107	us	us	total,farms	partial_token_overlap_unindexed
S1-942590387	S3-860483867	S3	brightium robinhood llc	33269 190th street 22 ia	us	us	brightium,llc	partial_token_overlap_unindexed
S1-728223702	S3-64774118	S3	ace human private limited	a 104 1st floor a wing plot 355 357 florentine dosti acres shaikh misree road antop hill bus terminal antop hill mumbai maharashtra	india	india	private,ace,human	partial_token_overlap_unindexed
S1-986207185	S2-42503928	S2	ace modern care private limited	karnataka 12th cross 5th main m c layout vijayanagar bangalore no 648 bangalore	india	india	private,ace,limited,care	partial_token_overlap_unindexed
S1-942418129	S3-739979290	S3	real estate private limited	157c lenin sarani deluxe centre 3rd floor kolkata kolkata howrah west bengal	india	india		empty_or_missing_name
S1-705978737	S2-902643619	S2	atlas fargo l l c	222 100 provo ut	us	us	fargo,atlas	partial_token_overlap_unindexed
S1-925554464	S2-578768246	S2	niche health corporation	calcutta p 16 kalakar street west bengal kolkata	india	india	niche,corporation	partial_token_overlap_unindexed
S1-679802254	S3-520191547	S3	jewel engineering private limited	no 1 23 raja mansion 12th cross swimming pool extn malleswaram bangalore karnataka	india	india	private,jewel,engineering	partial_token_overlap_unindexed
S1-311847071	S3-102133306	S3	family partners	15974 74th lane peoria az	us	us	partners,family	partial_token_overlap_unindexed
S1-763611874	S2-161982309	S2	reina s summit engineering	md 4637 harwich drive waldorf	us	us	s,engineering,summit,reina	partial_token_overlap_unindexed
S1-868349363	S2-258002231	S2	red care llp	kashi kunj shop no 3 sv road malad west mumbai mumbai maharashtra mumbai city	india	india		empty_or_missing_name
S1-866344609	S2-281706095	S2	optimal liberty all care	803 parliament street little rock ar	us	us	liberty,optimal	partial_token_overlap_unindexed
S1-431241109	S2-957179593	S2	vijay industries private limited	mumbai maharashtra mumbai city 5 ll flr raja inds estate p k road mulund west	india	india	vijay,private,limited	partial_token_overlap_unindexed
S1-986726880	S3-424454568	S3	lansing pattana llc	709 tenth street city of watertown wi	us	us	llc,lansing	partial_token_overlap_unindexed
S1-28678758	S3-277984245	S3	pw qdro inc	200 reeve street sublette il	us	us	pw,inc	partial_token_overlap_unindexed
S1-574137829	S2-775472980	S2	miix interests inc	scottsdale fl 1 az 10166 rising sun drive	us	us	interests,miix	partial_token_overlap_unindexed
S1-221384458	S3-838959099	S3	new business pvt ltd	survey number 39 a 2 3 house number 2 163 building number 7 flat 15 durvankur apartment manikbag amrutanagar pune city pune maharashtra	india	india	pvt,ltd,new	partial_token_overlap_unindexed
S1-207988494	S2-858544897	S2	blue premier llc	119 crawford street danville il	us	us	blue,premier	partial_token_overlap_unindexed
S1-754139407	S3-85754647	S3	international trading	3 c 75c park street 3 floor kamdhenu building kolkata kolkata howrah west bengal	india	india		zero_shared_tokens_transliteration
S1-229555888	S2-554839207	S2	rapid quality made lp	6 wildwood lane goshen ma	us	us	lp,made,rapid	partial_token_overlap_unindexed
S1-483337679	S3-996134194	S3	bansidhar law chambers	alete towers h no 3 6 726 and 727 street no 11 himayatnagar himayathnagar hyderabad telangana	india	india	law,bansidhar	partial_token_overlap_unindexed
S1-177380392	S3-995568039	S3	laxmi logistics limited	c 402 shantinagar dutta mandir road malad east mumbai mumbai city maharashtra	india	india		zero_shared_tokens_transliteration
S1-142759990	S2-313652099	S2	sun ventures private limited	8 2 293 82 pn 198 rd no7 shaikpet golconda mandal shaikpet hyderabad telangana	india	india		empty_or_missing_name
S1-566823473	S2-150047726	S2	little electronics llp	no 6 sengunthapuram 5th street mangalam road tirupur coimbatore tamil nadu	india	india	electronics,little	partial_token_overlap_unindexed
S1-482358496	S3-185542045	S3	pioneer agro private limited	old survey no 57 3 4 8 59 1 new survey no 97 m nr national miplastic kashimira thane maharashtra	india	india	private,limited,pioneer,agro	partial_token_overlap_unindexed
S1-580728640	S3-901938112	S3	bright massage	5025 dahlia drive phoenix az	us	us	bright,massage	partial_token_overlap_unindexed
S1-22754779	S2-465801821	S2	star consulting llp	plot no 24 office no 805 shalin complex sector 11 gandhinagar gandhinagar gandhi nagar gujarat	india	india		empty_or_missing_name
S1-598081658	S3-839900376	S3	big pub	wa east wenatchee 680 colorado avenue	us	us	pub,big	partial_token_overlap_unindexed
S1-279014952	S2-800340691	S2	kt animation private limited	flat no 124 cate iii sfs hauz khas new delhi south west delhi delhi	india	india	private,limited,kt	partial_token_overlap_unindexed
S1-467017428	S2-232846512	S2	lakshmi marketing private limited	sunvision classic 5th floor opp ing vsya bank hanuman road vile parle e mumbai mumbai city maharashtra	india	india		empty_or_missing_name
S1-774108759	S3-70887639	S3	aurora rice llc	226 7th street winona mn	us	us	aurora,llc	partial_token_overlap_unindexed
S1-691565855	S2-559534717	S2	metropolitan project inc	oak lawn 5377 otto place il	us	us	metropolitan,inc	partial_token_overlap_unindexed
S1-859712142	S3-842138321	S3	diversified aerospace products	nd 116 23rd street williston	us	us	diversified,aerospace	partial_token_overlap_unindexed
S1-265276030	S3-128107737	S3	reichel academy pc	410 deborah street bono ar	us	us	pc,academy	partial_token_overlap_unindexed
S1-538732661	S3-82358885	S3	community ministries iii	w606 bay road park falls wi	us	us	community,iii,ministries	partial_token_overlap_unindexed
S1-674771355	S2-423563758	S2	jarlic muniholdings l l c	il ottawa 125 allen street	us	us	muniholdings,jarlic	partial_token_overlap_unindexed
S1-657626552	S3-949676899	S3	nrr marketing private limited	171 sanzgiri sadan 2nd floor a block girgaum mumbai mumbai city maharashtra	india	india	marketing,nrr,limited	partial_token_overlap_unindexed
S1-52410964	S3-61637069	S3	hostetter merck and lewis ftai	35313 cox lane modesto il	us	us		zero_shared_tokens_transliteration
S1-323868866	S2-873171560	S2	key financial	tamil nadu kovil street villivakkam tiruvallur 28 agatheeswarar ambattur	india	india	key	partial_token_overlap_unindexed
S1-979734176	S2-815368162	S2	patriot association	102 ruby avenue gastonia nc	us	us	patriot	partial_token_overlap_unindexed
S1-636502807	S3-380674503	S3	sbk fincon private limited	703 sharda chambers 15 new marine lines mumbai mumbai city maharashtra	india	india	fincon,private,sbk	partial_token_overlap_unindexed
S1-423191543	S3-835993467	S3	gaby sanchez launchpad inc	3333 william johnston lane unit unit 14 prince william county va	us	us		zero_shared_tokens_transliteration
S1-473375664	S3-545569934	S3	lakshmi products pvt ltd	house no 45 omaxe anandam omaxe city 1 baliyakheda indore madhya pradesh	india	india	pvt,ltd	partial_token_overlap_unindexed
S1-330440630	S3-905927929	S3	orthopedic center of ballwin pc	345 sulphur spring road ballwin mo	us	us	pc,ballwin,orthopedic,of	partial_token_overlap_unindexed
S1-449029	S2-470156778	S2	maxim institute clinic	67 26 strand road kolkata howrah west bengal	india	india	clinic,maxim	partial_token_overlap_unindexed
S1-52394172	S3-297004450	S3	bihariji industries group	village and post pratapura via bandikui tehsil baswa dausa rajasthan	india	india	industries,bihariji	partial_token_overlap_unindexed
S1-631152952	S2-784242957	S2	first lutheran church	595 hicks road unit e nashville tn	us	us	lutheran,first	partial_token_overlap_unindexed
S1-391631501	S2-891742997	S2	astha and co	23 c east delhi delhi pocket j and k dilshad garden delhi	india	india	astha,and	partial_token_overlap_unindexed
S1-364885957	S2-674705250	S2	rev it up tattoo inc	oh madison township 73 martha drive	us	us	up,it,rev,tattoo	partial_token_overlap_unindexed
S1-376986445	S3-603401822	S3	classic consulting pvt ltd	c 13 sudarshan tower sun n step club road thaltej ahmedabad gujarat	india	india	classic,pvt,ltd	partial_token_overlap_unindexed
S1-273008311	S3-524325527	S3	swastik infotech limited	odakhanda po badala sasan balipatna balipatna khordha orissa	india	india	swastik,limited	partial_token_overlap_unindexed
S1-448521657	S3-961356409	S3	clear all senior	1516 menard avenue chicago il	us	us	all,clear	partial_token_overlap_unindexed
S1-805549305	S3-900793526	S3	dream engineering pvt ltd	shop no 3 near kundan chowk vill khushkhera near bhiwadi bhiwadi alwar rajasthan	india	india		empty_or_missing_name
S1-664831217	S3-175309732	S3	jai healthcare	sumadhura vasantham sonnenahalli flat no 408 karnataka bangalore	india	india	healthcare,jai	partial_token_overlap_unindexed
S1-177764089	S2-508231891	S2	lila shyam private limited	haryana faridabad h no 11 sector 31 faridabad	india	india		zero_shared_tokens_transliteration
S1-903467626	S3-610296731	S3	ely machine works inc	205 dyer street henry county va	us	us	inc,works,ely	partial_token_overlap_unindexed
S1-942681672	S3-684846289	S3	jones dollar llc	4949 lake road livonia ny	us	us	jones,dollar	partial_token_overlap_unindexed
S1-868606175	S2-727637369	S2	du cbre inc	129 trumbull parkway batavia ny	us	us	du,cbre	partial_token_overlap_unindexed
S1-812468795	S3-414577777	S3	smart management private limited	patna bihar nagina shanti vatika sharma path rukanpura 403 phulwari	india	india	private,smart,limited	partial_token_overlap_unindexed
S1-585104095	S2-566609231	S2	heartland gss l l c	2647 woodley place fairfax county va	us	us	gss,heartland	partial_token_overlap_unindexed
S1-251744180	S2-234938323	S2	dorine f rainey md m d p c	105 main street fort branch in	us	us	f,md,rainey	partial_token_overlap_unindexed
S1-13864555	S3-930232281	S3	ear nose and throat keystone care llc	5103 raven street gillette wy	us	us	keystone,care,nose,throat,and,ear	partial_token_overlap_unindexed
S1-361057210	S2-237237819	S2	data design worldwide associates	6803 scioto chase boulevard powell oh	us	us	design,data,worldwide	partial_token_overlap_unindexed
S1-282124306	S3-427498696	S3	white consulting private limited	h no 14 81 140 18 mallikarjuna nagar beeramguda ramachandrapuram medak telangana	india	india		empty_or_missing_name
S1-820371961	S2-681438624	S2	legacy electronics industries	809 23rd street copperas cove tx	us	us	electronics,industries,legacy	partial_token_overlap_unindexed
S1-60364342	S3-374001535	S3	dermatology care associates	2141 ravenswood road city of burlington wi	us	us	dermatology,associates,care	partial_token_overlap_unindexed
S1-214457238	S2-338318803	S2	tirupati mahila private limited	no 19 2nd main road swami vivekananda nagar hoskote bangal ore bangalore bangalore rural karnataka	india	india	tirupati,limited,mahila	partial_token_overlap_unindexed
S1-254627789	S2-61451887	S2	huggins s associates	6800 strand avenue unit 676 yuma az	us	us	associates,s,huggins	partial_token_overlap_unindexed
S1-341204121	S3-679266023	S3	krishna innovative consultants limited	no 9 11 18 10 ahmed ahmedpura colony nizamabad telangana	india	india		empty_or_missing_name
S1-807634832	S3-740556805	S3	sunrise producer private limited	house m72 vidhyut nagar vijay singh yadav path khagaul near kidz dinapur cum khagaul patna bihar	india	india		empty_or_missing_name
S1-276865572	S3-866178331	S3	claudette s desert environmental services llc	riverdale 6002 67th avenue md unit 205	us	us	claudette,environmental,desert,services,s	partial_token_overlap_unindexed
S1-779905145	S3-611796599	S3	rosemary bryant frontier disciplined inc	3701 11th avenue in gary	us	us	disciplined,rosemary,bryant,frontier	partial_token_overlap_unindexed
S1-71382864	S2-389314967	S2	rodriguez apex ngl	6068 sparrow street millington tn	us	us	rodriguez,apex,ngl	partial_token_overlap_unindexed
S1-972059054	S3-138304817	S3	derosa preferred hovnanian llc	6409 135th place kirkland wa	us	us		zero_shared_tokens_transliteration
S1-168366893	S3-652487184	S3	hari investment private limited	plot no g 9 sector 6 noida gautam buddha nagar uttar pradesh	india	india		empty_or_missing_name
S1-667419894	S3-401470056	S3	mahaffey s auto body	635 wind chime court stephenville tx	us	us		zero_shared_tokens_transliteration
S1-62329201	S3-270245622	S3	urology center inc	695 empire boulevard irondequoit ny	us	us	inc,center,urology	partial_token_overlap_unindexed
S1-672065049	S2-587906390	S2	ghaziabad industries pvt ltd	gh 012 windsor park 5 vaibhav khand indirapuram ghaziabad uttar pradesh	india	india	pvt,ltd,ghaziabad	partial_token_overlap_unindexed
S1-651861053	S3-51864610	S3	puri consultants	w 6 30 dlf city phase iii gurgaon haryana	india	india	puri	partial_token_overlap_unindexed
S1-424010232	S3-244010851	S3	good systems private limited	pune sai ambience maharashtra pune b 1001 pimple saudagar	india	india		empty_or_missing_name
S1-342431665	S2-323217960	S2	cardiology center llc	190 davenport avenue new rochelle ny	us	us	llc,center,cardiology	partial_token_overlap_unindexed
S1-47620116	S3-327275889	S3	amrit computech pvt ltd	vill kadavita debipur kalyaneshwari west bengal kulti bardhaman	india	india	amrit,pvt,ltd	partial_token_overlap_unindexed
S1-404466688	S2-95227592	S2	q 9 anchor public llc	225 59th way birmingham al	us	us	public,q,9,llc	partial_token_overlap_unindexed
S1-515251309	S3-422105409	S3	skyway cold llp	plot 47 banwali kala sanghian kapurthala punjab	india	india	skyway,cold	partial_token_overlap_unindexed
S1-293441859	S2-130627608	S2	redwood inc	36 main street unit apartment 4 leroy ny	us	us	inc,redwood	partial_token_overlap_unindexed
S1-652171268	S3-132394312	S3	eastern estate private limited	c 1211 east loni road delhi delhi east delhi delhi	india	india		empty_or_missing_name
S1-504633584	S3-16761984	S3	silver foundation private limited	b 602 mayflower opp poisar bus depot plot no 100 lady fatima road poisar kandivali west mumbai city maharashtra	india	india	silver,private,foundation	partial_token_overlap_unindexed
S1-997450253	S3-241257280	S3	halcial long llc	5448 rock springs road harrison ar	us	us	long,halcial	partial_token_overlap_unindexed
S1-164739661	S3-921349374	S3	creative trading private limited	s no 56 3 95 kavade nagar pimple gurav pune maharashtra	india	india	creative,trading	partial_token_overlap_unindexed
S1-192763800	S2-57500772	S2	fj hill llc	219 country meadow court mansfield tx	us	us	fj,llc	partial_token_overlap_unindexed
S1-560853131	S2-193065324	S2	patriot investments	7835 118th street seattle wa	us	us	patriot	partial_token_overlap_unindexed
S1-149134144	S3-996440207	S3	ram trading pvt ltd	e 42 kamla nagar nr water tank road agra uttar pradesh	india	india	ram,pvt,ltd,trading	partial_token_overlap_unindexed
S1-270053163	S2-623375302	S2	innovative enterprises	302 ild trade centre sec 47 sohna road gurgaon haryana	india	india		empty_or_missing_name
S1-905994896	S2-156874802	S2	kathlin gaddy hartford llc	1628 311 old donation parkway virginia beach city va	us	us		zero_shared_tokens_transliteration
S1-964925471	S2-376123131	S2	heritage fund	6005 ten ten road apex nc	us	us	heritage	partial_token_overlap_unindexed
S1-315280831	S3-864125565	S3	maa wind limited	805 b pinacel prahladnagar area opp orchade auda garden vejalpur ahmedabad gujarat	india	india	limited,maa	partial_token_overlap_unindexed
S1-674888714	S3-269968904	S3	tirupati foundation private limited	32 c nalin sarkar street kolkata kolkata howrah west bengal	india	india	tirupati,limited,foundation	partial_token_overlap_unindexed
S1-203787600	S3-382625181	S3	high point internal medicine partners	3841 hickswood creek drive high point nc	us	us		zero_shared_tokens_transliteration
S1-933440839	S2-748279478	S2	eastern logistics private limited	101 auchyut mazon h no 7 1 621 48 s r nagar hyderabad telangana	india	india		empty_or_missing_name
S1-154495885	S2-778612058	S2	people services private limited	bhopal huzur top floor doorsanchar colony gulmohar shahpura bhopal madhya pradesh 111	india	india		zero_shared_tokens_transliteration
S1-356072736	S3-539973594	S3	esme e gilpin do m d p c	2075 willis gap mountain road patrick county va	us	us	d,gilpin,esme,c,m,do,p,e	partial_token_overlap_unindexed
S1-829654801	S3-313308460	S3	ridge medicines llc	3882 forge road rockbridge county va	us	us		zero_shared_tokens_transliteration
S1-57235044	S2-378241139	S2	bhagat consultants	e 54 ground floor sujan singh park ndmc delhi south delhi delhi	india	india	bhagat	partial_token_overlap_unindexed
S1-410562881	S3-251337900	S3	prescott health council	2899 venture drive unit c93 az prescott	us	us		zero_shared_tokens_transliteration
S1-66443808	S3-462829875	S3	sauer fitness inc	211 tanglewood circle dahinda il fl 1	us	us	fitness,inc	partial_token_overlap_unindexed
S1-998129023	S3-14173199	S3	one silver food private limited	12 84 1 narayanagiri dharmasagar warangal urban telangana	india	india		empty_or_missing_name
S1-626337984	S3-919418613	S3	mountain giant inc	south jordan ut 4091 great neck drive	us	us	inc,mountain	partial_token_overlap_unindexed
S1-640830255	S3-994982012	S3	united complete construction	phoenix 6026 encinas lane az	us	us	united,complete	partial_token_overlap_unindexed
S1-227259029	S3-640890303	S3	fernandez cascade bakery inc	1826 merriman avenue unit 4 charlotte nc	us	us	bakery,fernandez,cascade	partial_token_overlap_unindexed
S1-454420077	S3-5056874	S3	united foundation	3376 south road vt williston	us	us	united,foundation	partial_token_overlap_unindexed
S1-811157294	S2-486970536	S2	eminence media ltd	11 12 swapana complex near mithakhali six roads navrangpura ahmedabad gujarat	india	india	media,eminence	partial_token_overlap_unindexed
S1-355360961	S3-60891493	S3	internal medicine center	7 third street andover ny	us	us	medicine,center,internal	partial_token_overlap_unindexed
S1-488231271	S3-430020883	S3	davis family office inc	71 chancellor drive lillington nc	us	us	davis,office,family	partial_token_overlap_unindexed
S1-85253102	S3-643331175	S3	lantern park inc	144 brookfield circle sanford nc	us	us	inc,lantern	partial_token_overlap_unindexed
S1-491973276	S3-313848060	S3	surgical group inc	15014 ivory drive fountain hills az	us	us		zero_shared_tokens_transliteration
S1-793579612	S3-443852679	S3	hanson s fresh apparel	1210 q street unit lot 64 richmond in	us	us	s,hanson,fresh	partial_token_overlap_unindexed
S1-746703491	S3-203874860	S3	marsh industries ltd	d no 6 15 31 kubera towers 15 1 arundelpet guntur a p andhra pradesh	india	india		zero_shared_tokens_transliteration
S1-50027237	S3-839361967	S3	stephens sterling franklin	2256 wood street unit 8 decatur il	us	us	stephens,franklin	partial_token_overlap_unindexed
S1-669182921	S3-969924373	S3	chiropractic medicine inc	6236 wadsworth road montville township oh	us	us	chiropractic,medicine,inc	partial_token_overlap_unindexed
S1-133292201	S2-66312622	S2	nexis graf inc	31 parkwood hills spruce pine nc	us	us	nexis,inc	partial_token_overlap_unindexed
S1-631544802	S3-664181782	S3	metro piedmont aldabra llc	2824 lana circle fort worth tx	us	us		zero_shared_tokens_transliteration
S1-459996080	S2-297039810	S2	express union llc	east aurora unit suite 2 695 main street ny	us	us	union,express	partial_token_overlap_unindexed
S1-378266359	S2-341196496	S2	creative logistics limited	c o marreddy anji reddy thotlavll 04 chagant thotlavalluru krishna andhra pradesh	india	india		zero_shared_tokens_transliteration
S1-596450212	S3-991003018	S3	bally jagachha management private limited	ideal grand bl a g t road south howrah bally jagachha howrah west bengal	india	india	private,jagachha,bally,management	partial_token_overlap_unindexed
S1-745949803	S3-46392324	S3	surya best consultants private limited	rz09 209 f f block no 1 kh no 744 208 gali no4 west sagarpur new delhi south west delhi delhi	india	india		empty_or_missing_name
S1-405300261	S2-286729858	S2	neha sangh	301 goyal shopping centre s v road borivali west mumbai maharashtra	india	india	neha	partial_token_overlap_unindexed
S1-295723007	S3-787570544	S3	bombay energy pvt ltd	uttar pradesh 96 8civil lines jhansi jhansi	india	india	pvt,ltd,bombay	partial_token_overlap_unindexed
S1-121300600	S3-328159647	S3	heartland custom blueport	4249 shadwell drive evansville in	us	us	blueport,heartland	partial_token_overlap_unindexed
S1-260511638	S2-66308325	S2	patriot institute	unit 06 740 straight creek road tn new tazewell	us	us	institute,patriot	partial_token_overlap_unindexed
S1-566540811	S2-674762974	S2	optify inc	20 box hill parkway s unit 421 abingdon md	us	us	optify	partial_token_overlap_unindexed
S1-159064092	S3-677891725	S3	paul holdings group llc	431 hawthorne loop road unit 206 leland nc	us	us	group,paul	partial_token_overlap_unindexed
S1-706031642	S3-981235940	S3	roopika estate private limited	no 102 floor 1 plot 210 snow flama dosti flamingo china mill compound t j road sewri mumbai mumbai city maharashtra	india	india	private,limited,roopika	partial_token_overlap_unindexed
S1-191505777	S2-881322894	S2	atlantic foundation	1511 saint paul avenue unit apartment 7 saint paul mn	us	us	atlantic	partial_token_overlap_unindexed
S1-325616466	S3-994954842	S3	marijo maland american flag pllc	218 890 orem ut	us	us		zero_shared_tokens_transliteration
S1-126440778	S2-156206132	S2	victory constructions private limited	near airtel tower ab road bhojpuria pachore raigarh madhya pradesh	india	india	private,limited,victory	partial_token_overlap_unindexed
S1-815575341	S3-24214274	S3	riify llc	17221 10th avenue shoreline wa	us	us	llc,riify	partial_token_overlap_unindexed
S1-737225506	S2-990729108	S2	secure shore llc	tx sweeny 1465 camellia street	us	us	secure,llc	partial_token_overlap_unindexed
S1-868937193	S3-798474718	S3	cheryl robinson renewables pllc	25 bryner street helper city ut	us	us	cheryl,renewables,robinson	partial_token_overlap_unindexed
S1-6374980	S2-742527409	S2	lee brown and denning auto sales	mt 1050 p k road shepherd unit unit 1	us	us		zero_shared_tokens_transliteration
S1-465828504	S3-984017991	S3	zaroa charles	1558 chalk avenue whitpain township pa	us	us		zero_shared_tokens_transliteration
S1-395911148	S2-27997611	S2	choice printing partners llc	418 48th place chicago il	us	us	partners,choice,printing	partial_token_overlap_unindexed
S1-574568737	S2-146588341	S2	classic foundation private limited	om enclave ground floor mal naka sanmitra nagar road near swayanvar mang al karyala ratnagiri maharashtra	india	india		empty_or_missing_name
S1-847693024	S3-294130873	S3	guru bombay consulting private limited	shop no 314 315 exxoniic jahangirpura surat gujarat	india	india	private,limited,bombay,guru	partial_token_overlap_unindexed
S1-314957460	S3-841770752	S3	anand hari systems private limited	d 11 second floor defence colony new delhi south delhi delhi	india	india		empty_or_missing_name
S1-469865710	S2-252700475	S2	panchmukhi surgical private limited	rajasthan plot no 126 kuldeep vihar yojna jodhpur	india	india		zero_shared_tokens_transliteration
S1-41341245	S3-38589501	S3	first cathedral	336 diversity way raleigh nc	us	us	cathedral,first	partial_token_overlap_unindexed
S1-550240886	S3-187065047	S3	blossom infrastructure india private limited	orchid plaza bh macdonalds village vemali taluka vadodara vadodara gujarat 424	india	india	private,infrastructure,blossom,india	partial_token_overlap_unindexed
S1-644699489	S2-174499414	S2	vimal cargo private limited	2 1 chatarpur more mehrauli new delhi south delhi delhi	india	india	private,cargo,vimal	partial_token_overlap_unindexed
S1-999894380	S2-144616502	S2	harbor school of medicine	ma milton 37 pagoda street	us	us	medicine,harbor,of	partial_token_overlap_unindexed
S1-78359304	S3-9336656	S3	m d and x crane llc	712 baltimore avenue md ocean city	us	us	x,d,and,crane,m	partial_token_overlap_unindexed
S1-928371510	S2-140730220	S2	modern power private limited	h o minta devi minta market mangal chowk khemnichak p s ram krishna nagar patna bihar	india	india	private,modern,limited	partial_token_overlap_unindexed
S1-148790352	S3-558760025	S3	ganapati solutions public limited	16 344 first floor ananya mukkath house near govt high school muppathadom kerala	india	india	solutions,limited,ganapati	partial_token_overlap_unindexed
S1-684726056	S3-768423116	S3	gulf advantage inc	304 jenette avenue il buckner fl 1	us	us	gulf,advantage	partial_token_overlap_unindexed
S1-149458465	S3-279777870	S3	patriot committee l l c	957 cr 905 green forest ar	us	us	l,c,patriot	partial_token_overlap_unindexed
S1-253260211	S3-687899829	S3	kaur outdoor inc	514 14th street front royal town va	us	us	kaur,outdoor	partial_token_overlap_unindexed
S1-242797708	S2-442045651	S2	universal logistics limited	supath ii opp wadaj bus terminal nr union bank of india usmanpura ashram road ahmedabad 102 e gujarat ahmadabad city	india	india	universal,limited,logistics	partial_token_overlap_unindexed
S1-546325650	S2-588555098	S2	physical therapy specialists	3102 3990 winnsboro tx	us	us	physical,specialists,therapy	partial_token_overlap_unindexed
S1-939456674	S2-441199078	S2	visakhapatnam mills private limited	plot no 12 brandix india apparel city sez apsez pudimadaka road atchuthapuram ma ndal visakhapatnam vishakhapatnam andhra pradesh	india	india		zero_shared_tokens_transliteration
S1-124830824	S3-221778708	S3	cardiology specialists inc	5424 hartford avenue tulsa ok	us	us	inc,cardiology,specialists	partial_token_overlap_unindexed
S1-357344139	S3-369353727	S3	holy israel	fair oaks ca 5337 sunrise boulevard	us	us	israel,holy	partial_token_overlap_unindexed
S1-382435344	S3-356046991	S3	american western llc	61 01 bleecker street ridgewood ny	us	us	western,american	partial_token_overlap_unindexed
S1-318477774	S3-621264121	S3	seven systems limited	c o radhey krshna dashrath farenda maharajganj uttar pradesh	india	india		empty_or_missing_name
S1-644727021	S3-853985825	S3	lakshmi properties private limited	new delhi c 22 b s f guru ram dass nagar laxmi nagar delhi east delhi	india	india	private,lakshmi,properties	partial_token_overlap_unindexed
S1-538239017	S2-565454483	S2	american lending llc	1842 maine drive elk grove village il	us	us	american,llc	partial_token_overlap_unindexed
S1-927651996	S3-701215575	S3	anand builders pvt ltd	b 101 bhaveshwar plazal b s road ghatkopar w mumbai maharashtra	india	india	anand	partial_token_overlap_unindexed
S1-999063329	S3-329926193	S3	ram management private limited	2 262 2 keela street keela ariyappapuram thippanampatti tenkasi tirunelveli tamil nadu	india	india	private,ram,limited	partial_token_overlap_unindexed
S1-768899550	S2-911203096	S2	modern consultants	mumbai seventh floor crescent business park samitha complex safed pul sakinaka andheri east mumbai unit no 714 maharashtra	india	india		empty_or_missing_name
S1-649029066	S3-369100540	S3	redwood inc	3177 128th street charlotte ia	us	us	inc,redwood	partial_token_overlap_unindexed
S1-820112905	S2-569340181	S2	city arihant infrastructure private limited	malappuram kerala malapuram shamil tower kizhakkethala nilambur building no 10 208 x	india	india		zero_shared_tokens_transliteration
